OscAddress, MessageId, MessageTime, CurrentTime
/BongoBot/playBongo, 0,1569283071396000,1569283069404016
/BongoBot/playBongo, 1,1569283071896000,1569283069904292
/BongoBot/playBongo, 2,1569283072396000,1569283070401663
/BongoBot/playBongo, 3,1569283072896000,1569283070900479
/BongoBot/playBongo, 4,1569283073396000,1569283071402906
/BongoBot/playBongo, 5,1569283073896000,1569283071904898
/BongoBot/playBongo, 6,1569283074396000,1569283072399815
/BongoBot/playBongo, 7,1569283074896000,1569283072901806
/BongoBot/playBongo, 8,1569283075396000,1569283073430797
/BongoBot/playBongo, 9,1569283075896000,1569283073961014
/BongoBot/playBongo, 0,1569283242093999,1569283240098516
/BongoBot/playBongo, 1,1569283242593999,1569283240601141
/BongoBot/playBongo, 2,1569283243093999,1569283241098040
/BongoBot/playBongo, 3,1569283243593999,1569283241600291
/BongoBot/playBongo, 4,1569283244093999,1569283242096462
/BongoBot/playBongo, 5,1569283244593999,1569283242600287
/BongoBot/playBongo, 6,1569283245093999,1569283243100865
/BongoBot/playBongo, 7,1569283245593999,1569283243600588
/BongoBot/playBongo, 8,1569283246093999,1569283244098910
/BongoBot/playBongo, 9,1569283246593999,1569283244600586
